	read depth	percent tips shuffles	fold tips subset	fold shuffle	fold depth	fold evaluation	metric	score
254	500000	0.75	0	0	4	0	PERMANOVA: F-statistic	44.84661514533259
255	500000	0.75	0	0	5	0	PERMANOVA: F-statistic	57.265365968775626
256	500000	0.75	0	0	6	0	PERMANOVA: F-statistic	47.264196639755134
257	500000	0.75	0	0	7	0	PERMANOVA: F-statistic	56.208288964969114
258	500000	0.75	0	0	8	0	PERMANOVA: F-statistic	53.71560612263847
259	500000	0.75	0	0	9	0	PERMANOVA: F-statistic	49.97662368171071
260	200000	0.75	0	0	0	0	PERMANOVA: F-statistic	43.557511340856
261	200000	0.75	0	0	1	0	PERMANOVA: F-statistic	36.51825442990564
262	200000	0.75	0	0	2	0	PERMANOVA: F-statistic	29.10730959216969
263	200000	0.75	0	0	3	0	PERMANOVA: F-statistic	39.77834212160569
264	200000	0.75	0	0	4	0	PERMANOVA: F-statistic	41.52984174185062
265	200000	0.75	0	0	5	0	PERMANOVA: F-statistic	38.11767972316884
266	200000	0.75	0	0	6	0	PERMANOVA: F-statistic	45.58773928226057
267	200000	0.75	0	0	7	0	PERMANOVA: F-statistic	40.44781797460595
268	200000	0.75	0	0	8	0	PERMANOVA: F-statistic	54.41326340893938
269	200000	0.75	0	0	9	0	PERMANOVA: F-statistic	44.7010157164531
270	20000	0.75	0	0	0	0	PERMANOVA: F-statistic	29.231406413038034
271	20000	0.75	0	0	1	0	PERMANOVA: F-statistic	21.21629785928472
272	20000	0.75	0	0	2	0	PERMANOVA: F-statistic	21.135374770282763
273	20000	0.75	0	0	3	0	PERMANOVA: F-statistic	25.03878017776918
274	20000	0.75	0	0	4	0	PERMANOVA: F-statistic	24.179475146820987
275	20000	0.75	0	0	5	0	PERMANOVA: F-statistic	20.623467572783337
276	20000	0.75	0	0	6	0	PERMANOVA: F-statistic	19.077764154677688
277	20000	0.75	0	0	7	0	PERMANOVA: F-statistic	22.566320153404586
278	20000	0.75	0	0	8	0	PERMANOVA: F-statistic	24.936649108588117
279	20000	0.75	0	0	9	0	PERMANOVA: F-statistic	16.586058404077757
280	2000	0.75	0	0	0	0	PERMANOVA: F-statistic	14.087064549308431
281	2000	0.75	0	0	1	0	PERMANOVA: F-statistic	5.130459670096815
282	2000	0.75	0	0	2	0	PERMANOVA: F-statistic	8.119716283617784
283	2000	0.75	0	0	3	0	PERMANOVA: F-statistic	11.303024806414507
284	2000	0.75	0	0	4	0	PERMANOVA: F-statistic	4.387269678253366
285	2000	0.75	0	0	5	0	PERMANOVA: F-statistic	5.160747654278961
286	2000	0.75	0	0	6	0	PERMANOVA: F-statistic	6.637721679654373
287	2000	0.75	0	0	7	0	PERMANOVA: F-statistic	7.49583132090658
288	2000	0.75	0	0	8	0	PERMANOVA: F-statistic	15.901910755205446
289	2000	0.75	0	0	9	0	PERMANOVA: F-statistic	12.018328064392428
290	200	0.75	0	0	0	0	PERMANOVA: F-statistic	5.650237058862521
291	200	0.75	0	0	1	0	PERMANOVA: F-statistic	8.286265559133478
292	200	0.75	0	0	2	0	PERMANOVA: F-statistic	3.47401436685107
293	200	0.75	0	0	3	0	PERMANOVA: F-statistic	4.312607064858888
294	200	0.75	0	0	4	0	PERMANOVA: F-statistic	3.044177140355633
295	200	0.75	0	0	5	0	PERMANOVA: F-statistic	1.4302520402663323
296	200	0.75	0	0	6	0	PERMANOVA: F-statistic	5.624748732024015
297	200	0.75	0	0	7	0	PERMANOVA: F-statistic	4.575338158098473
298	200	0.75	0	0	8	0	PERMANOVA: F-statistic	3.4032611175559015
299	200	0.75	0	0	9	0	PERMANOVA: F-statistic	4.955727330242143
300	2000000	1	0	0	0	0	PERMANOVA: F-statistic	5.442277127029145
301	2000000	1	0	0	1	0	PERMANOVA: F-statistic	16.505605282531317
302	2000000	1	0	0	2	0	PERMANOVA: F-statistic	4.622300045319946
303	2000000	1	0	0	3	0	PERMANOVA: F-statistic	0.9118088804855374
304	2000000	1	0	0	4	0	PERMANOVA: F-statistic	17.755475105507934
305	2000000	1	0	0	5	0	PERMANOVA: F-statistic	17.207715545916237
306	2000000	1	0	0	6	0	PERMANOVA: F-statistic	31.751192429181476
307	2000000	1	0	0	7	0	PERMANOVA: F-statistic	26.602299354227124
308	2000000	1	0	0	8	0	PERMANOVA: F-statistic	7.168425784941913
309	2000000	1	0	0	9	0	PERMANOVA: F-statistic	4.650000882709036
310	500000	1	0	0	0	0	PERMANOVA: F-statistic	2.291673407388493
311	500000	1	0	0	1	0	PERMANOVA: F-statistic	2.1100876728454523
312	500000	1	0	0	2	0	PERMANOVA: F-statistic	1.5246211142926782
313	500000	1	0	0	3	0	PERMANOVA: F-statistic	2.937080414763542
314	500000	1	0	0	4	0	PERMANOVA: F-statistic	2.837731769128112
315	500000	1	0	0	5	0	PERMANOVA: F-statistic	10.331596446347392
316	500000	1	0	0	6	0	PERMANOVA: F-statistic	1.7256150009923747
317	500000	1	0	0	7	0	PERMANOVA: F-statistic	5.62284216080432
318	500000	1	0	0	8	0	PERMANOVA: F-statistic	1.2536849998604467
319	500000	1	0	0	9	0	PERMANOVA: F-statistic	1.3545085710839908
320	200000	1	0	0	0	0	PERMANOVA: F-statistic	0.7263217163427985
321	200000	1	0	0	1	0	PERMANOVA: F-statistic	1.5303373395704685
322	200000	1	0	0	2	0	PERMANOVA: F-statistic	1.562981470664544
323	200000	1	0	0	3	0	PERMANOVA: F-statistic	0.6518107295860424
324	200000	1	0	0	4	0	PERMANOVA: F-statistic	0.3713007790202107
325	200000	1	0	0	5	0	PERMANOVA: F-statistic	3.1042092704031203
326	200000	1	0	0	6	0	PERMANOVA: F-statistic	0.7189519084600648
327	200000	1	0	0	7	0	PERMANOVA: F-statistic	3.4393045312103796
328	200000	1	0	0	8	0	PERMANOVA: F-statistic	0.8067736243661626
329	200000	1	0	0	9	0	PERMANOVA: F-statistic	0.6768187051298149
330	20000	1	0	0	0	0	PERMANOVA: F-statistic	2.7974421976332913
331	20000	1	0	0	1	0	PERMANOVA: F-statistic	1.0142677063387833
332	20000	1	0	0	2	0	PERMANOVA: F-statistic	2.8991737372195607
333	20000	1	0	0	3	0	PERMANOVA: F-statistic	0.553809608842626
334	20000	1	0	0	4	0	PERMANOVA: F-statistic	0.3688863133855813
335	20000	1	0	0	5	0	PERMANOVA: F-statistic	1.6515531581150673
336	20000	1	0	0	6	0	PERMANOVA: F-statistic	1.6909549115845155
337	20000	1	0	0	7	0	PERMANOVA: F-statistic	1.1210143095537901
338	20000	1	0	0	8	0	PERMANOVA: F-statistic	0.3232056449840671
339	20000	1	0	0	9	0	PERMANOVA: F-statistic	2.3750385290773166
340	2000	1	0	0	0	0	PERMANOVA: F-statistic	0.2968883917198917
341	2000	1	0	0	1	0	PERMANOVA: F-statistic	0.9454203446359344
342	2000	1	0	0	2	0	PERMANOVA: F-statistic	1.1155039086402667
343	2000	1	0	0	3	0	PERMANOVA: F-statistic	0.6376902191404958
344	2000	1	0	0	4	0	PERMANOVA: F-statistic	2.9722919580739844
